Stop Code,Stop Name,Latitude,Longitude,Status,Shelter Quantity,Area_Light,Trash Can,Site_Shade,Real Time Sign,Sidewalk Condition,ADA condition,Landing Pad,Crosswalk,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,Crosswalk Score,ADA Score
1072,Old Chapel Hill Rd at Garrett Rd (EB),35.949715,-78.967443,Active,0.0,Good,,,No,Good,No_SidewalkWithStrip,,Fair,3.0,,2.0,,1.0,
1074,University Dr at American Red Cross,35.952773,-78.966079,Active,0.0,Good,,Trees_Good,No,Good,No_SidewalkWithStrip,,Fair,3.0,2.0,2.0,,1.0,
1075,University Dr at Ivy Creek Blvd,35.959253,-78.964615,Active,1.0,Good,Concrete,,No,Good,No_SidewalkWithStrip,,Fair,3.0,,2.0,,1.0,
1105,Erwin Rd at Fulton St (VA Hospital),36.008327,-78.937789,Active,1.0,Good,Concrete,,No,Good,,Other,Fair,3.0,,2.0,0.0,1.0,
1406,Renaissance Pkwy at Southpoint Mall (WB),35.9036647,-78.9466721,Active,2.0,Fair,Metal,,No,Good,Yes_Two_Doors,Yes_Two_Doors,Fair,2.0,,2.0,2.0,1.0,3.0
1553,Erwin Rd at Towerview Rd,36.003799,-78.950504,Active,0.0,Fair,Concrete,Trees_Good,No,Good,No_SidewalkAbuts,Other,Fair,2.0,2.0,2.0,0.0,1.0,
1732,Stirrup Creek at Twin Creek Ct,35.917372,-78.842734,Active,0.0,Good,,Trees_Good,No,,,,,3.0,2.0,,,,
1804,Renaissance Pkwy at NC 751 (WB),35.9011893,-78.9589826,Active,1.0,Fair,Metal,,No,Good,Yes_Two_Doors,Yes_Two_Doors,Good,2.0,,2.0,2.0,2.0,3.0
1901,McFarland Dr at Witherspoon Blvd (Patterson Place Park-and-Ride),35.950633,-78.989974,Active,0.0,Poor,Concrete,Trees_Fair,No,Good,No_SidewalkAbuts,Other,Poor,1.0,1.0,2.0,0.0,0.0,
1914,University Dr at University Pl (EB),35.95649,-78.965978,Active,0.0,Fair,,Trees_Good,No,Good,No_SidewalkWithStrip,,Fair,2.0,2.0,2.0,,1.0,
1927,Erwin Rd at Emergency Dr (EB),36.007959,-78.935469,Active,,,,,,,,,,,,,,,
5002,Riddle Rd at Ancroft Ave (NB),35.95263,-78.89703,Active,0.0,Fair,Concrete,Trees_Good,No,,,,,2.0,2.0,,,,
5003,Alston Ave at Main St (NB),35.98763,-78.88766,Active,,,,,,,,,,,,,,,
5004,Alston Ave at Main St (SB),35.9871939,-78.8883015,Active,0.0,Fair,,,No,Good,No_SidewalkWithStrip,,Poor,2.0,,2.0,,0.0,
5005,Cornwallis Rd at Industry Ln,35.94235,-78.8996,Active,0.0,Poor,,Trees_Fair,No,,,,,1.0,1.0,,,,
5006,Alston Ave at Linwood Ave (NB),35.9799408,-78.8914218,Active,,,,,,,,,,,,,,,
5008,S Alston Ave at Massey Ave (NB),35.978154,-78.892187,Active,0.0,Fair,,Trees_Good,No,Poor,No_SidewalkWithStrip,,Poor,2.0,2.0,0.0,,0.0,
5010,Durham Station Pettigrew North Platform,35.99624902,-78.90557568,Active,,,,,,,,,,,,,,,
5011,Durham Station Pettigrew South Platform,35.99650291,-78.90615772,Active,,,,,,,,,,,,,,,
5012,Durham Station Parking Deck Platform,35.99584322,-78.90520554,Active,,,,,,,,,,,,,,,
5017,Chapel Hill Rd at McGehee St (NB),35.981294,-78.934076,Active,0.0,Poor,,Trees_Fair,No,,,,,1.0,1.0,,,,
5018,Morehead Ave at Vickers Ave (WB),35.991663,-78.911791,Active,0.0,Fair,,Trees_Good,No,Fair,No_SidewalkWithStrip,,,2.0,2.0,1.0,,,
5021,Chapel Hill Rd at W Cornwallis Rd (SB1),35.975344,-78.936845,Active,0.0,Poor,,,No,Poor,No_SidewalkWithStrip,,Good,1.0,,0.0,,2.0,
5023,Avondale Dr at E Markham Ave (SB),36.008351,-78.885933,Active,0.0,Poor,Concrete,,No,Good,Yes_Sidewalk,,Poor,1.0,,2.0,,0.0,3.0
5027,Club Blvd at Gregson St,36.016838,-78.908686,Active,0.0,,Concrete,,No,Poor,No_SidewalkWithStrip,,Fair,,,0.0,,1.0,
5030,Duke St at Main St,35.999745,-78.90788,Active,0.0,Poor,,,No,Good,No_SidewalkAbuts,Other,Fair,1.0,,2.0,0.0,1.0,
5031,Carver St at Guess Rd,36.03778,-78.93043,Active,0.0,Poor,,,No,,,,Poor,1.0,,,,0.0,
5032,Roxboro Rd at Lavender Rd,36.02323,-78.889966,Active,,,,,,,,,,,,,,,
5033,Roxboro Rd at Bush Dr,36.07577,-78.90968,Active,0.0,Good,,,No,Good,No_SingleDoor,Yes_Single_Door,,3.0,,2.0,1.0,,
5035,Angier Ave at Pleasant Dr,35.96362,-78.85662,Active,0.0,Poor,,,No,,,,,1.0,,,,,
5039,Fayetteville St at Piedmont Ave (SB),35.984326,-78.899178,Active,0.0,Fair,Concrete,,No,Fair,No_SidewalkWithStrip,,Fair,2.0,,1.0,,1.0,
5042,University Dr at Weymouth St (WB),35.96702,-78.94998,Active,0.0,Good,,Trees_Good,No,Good,Yes_Two_Doors,Yes_Two_Doors,,3.0,2.0,2.0,2.0,,3.0
5043,Holloway St at Adams St (EB),35.98868,-78.85199,Active,1.0,Fair,Concrete,,No,Good,No_SingleDoor,Yes_Single_Door,Fair,2.0,,2.0,1.0,1.0,
5044,Duke St at Harper Pl,36.006837,-78.905495,Active,0.0,,,Trees_Good,No,Good,No_SidewalkWithStrip,,Fair,,2.0,2.0,,1.0,
5045,Roxboro Rd at Edgewood Dr,36.02775,-78.89,Active,0.0,Fair,,,No,Poor,Yes_Sidewalk,Other,Poor,2.0,,0.0,0.0,0.0,3.0
5047,Roxboro Rd at Markham Ave (south),36.009347,-78.891827,Active,0.0,Poor,,Trees_Good,No,Poor,No_SidewalkWithStrip,,Good,1.0,2.0,0.0,,2.0,
5048,Chapel Hill Rd at Pinecrest Rd,35.97935,-78.9352,Active,0.0,Poor,,Trees_Good,No,Poor,No_SidewalkWithStrip,,,1.0,2.0,0.0,,,
5054,University Dr at Larchmont Dr,35.960943,-78.962345,Active,0.0,Fair,,Trees_Good,No,Good,No_SidewalkAbuts,Other,Fair,2.0,2.0,2.0,0.0,1.0,
5055,Gregson St at Englewood Ave,36.01513,-78.90835,Active,0.0,Poor,,Trees_Good,No,Poor,No_SidewalkWithStrip,,Poor,1.0,2.0,0.0,,0.0,
5056,Lawson St at Sima Ave (EB),35.97451,-78.89105,Active,0.0,Fair,,Trees_Good,No,Good,Yes_Single_Door,Yes_Single_Door,,2.0,2.0,2.0,1.0,,2.0
5057,Angier Ave at Driver St (EB),35.9821,-78.87797,Active,0.0,Good,Metal,,No,Fair,Yes_Sidewalk,Other,Good,3.0,,1.0,0.0,2.0,3.0
5060,Dearborn Dr at Ruth St,36.037333,-78.871642,Active,0.0,Fair,,,No,,,,Poor,2.0,,,,0.0,
5064,Otis St at Red Oak Ave,35.970147,-78.909488,Active,0.0,Good,,,No,,,,,3.0,,,,,
5067,Geer St at Mangum St,36.003935,-78.89489168,Active,0.0,Poor,Concrete,Trees_Fair,No,Poor,No_SidewalkWithStrip,,Fair,1.0,1.0,0.0,,1.0,
5075,Milton Rd at Eno Valley Elementary (SB),36.08612,-78.91153,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5078,Trent Dr at Duke Clinics ,36.004779,-78.934944,Active,1.0,Fair,,,No,Good,No_SidewalkAbuts,Other,Good,2.0,,2.0,0.0,2.0,
5080,Fayetteville St at Homeland Ave (NB),35.962229,-78.908606,Active,0.0,Fair,Concrete,,No,Fair,No_SidewalkWithStrip,,,2.0,,1.0,,,
5081,Trent Dr at Duke Circle Parking Deck,36.006277,-78.934438,Active,0.0,Good,,,No,Good,No_SidewalkAbuts,Other,Good,3.0,,2.0,0.0,2.0,
5084,Old Farm Rd at Roxboro St (JFK Towers),36.065632,-78.904357,Active,1.0,Good,Metal,,No,Good,Yes_Two_Doors,Yes_Two_Doors,,3.0,,2.0,2.0,,3.0
5088,S Alston Ave at Massey Ave (SB),35.97835,-78.89238,Active,0.0,Good,Concrete,Trees_Fair,No,Poor,No_SidewalkWithStrip,,Poor,3.0,1.0,0.0,,0.0,
5089,Duke St at Englewood Ave,36.0153423,-78.9054261,Active,0.0,Poor,,Trees_Good,No,,,,Fair,1.0,2.0,,,1.0,
5091,E Club Blvd at Glenbrook Dr (SB),36.02387,-78.87682,Active,0.0,Fair,,Trees_Good,No,,,,,2.0,2.0,,,,
5093,University Dr at South Square Mall,35.965545,-78.957312,Active,1.0,Good,Concrete,,No,Poor,Yes_Single_Door,Yes_Single_Door,Fair,3.0,,0.0,1.0,1.0,2.0
5094,Lakewood Ave at Blackwell St,35.987322,-78.907022,Active,0.0,Fair,Concrete,Trees_Fair,No,Fair,No_SidewalkWithStrip,,Good,2.0,1.0,1.0,,2.0,
5097,Roxboro Rd at Murray Ave,36.0295,-78.89038,Active,0.0,Fair,Concrete,,No,Good,No_SidewalkAbuts,Other,Poor,2.0,,2.0,0.0,0.0,
5099,Carver St at Patrick Henry Dr (EB),36.040557,-78.897692,Active,0.0,Fair,,Trees_Good,No,Fair,No_SidewalkWithStrip,,Fair,2.0,2.0,1.0,,1.0,
