Stop Code,Shelter Quantity,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,ADA Score,Crosswalk Score
1072,0.0,3.0,,2.0,,,1.0
1074,0.0,3.0,2.0,2.0,,,1.0
1075,1.0,3.0,,2.0,,,1.0
1105,1.0,3.0,,2.0,0.0,,1.0
1406,2.0,2.0,,2.0,2.0,3.0,1.0
1553,0.0,2.0,2.0,2.0,0.0,,1.0
1732,0.0,3.0,2.0,,,,
1804,1.0,2.0,,2.0,2.0,3.0,2.0
1901,0.0,1.0,1.0,2.0,0.0,,0.0
1914,0.0,2.0,2.0,2.0,,,1.0
1927,,,,,,,
5002,0.0,2.0,2.0,,,,
5003,,,,,,,
5004,0.0,2.0,,2.0,,,0.0
5005,0.0,1.0,1.0,,,,
5006,,,,,,,
5008,0.0,2.0,2.0,0.0,,,0.0
5010,,,,,,,
5011,,,,,,,
5012,,,,,,,
5017,0.0,1.0,1.0,,,,
5018,0.0,2.0,2.0,1.0,,,
5021,0.0,1.0,,0.0,,,2.0
5023,0.0,1.0,,2.0,,3.0,0.0
5027,0.0,,,0.0,,,1.0
5030,0.0,1.0,,2.0,0.0,,1.0
5031,0.0,1.0,,,,,0.0
5032,,,,,,,
5033,0.0,3.0,,2.0,1.0,,
5035,0.0,1.0,,,,,
5039,0.0,2.0,,1.0,,,1.0
5042,0.0,3.0,2.0,2.0,2.0,3.0,
5043,1.0,2.0,,2.0,1.0,,1.0
5044,0.0,,2.0,2.0,,,1.0
5045,0.0,2.0,,0.0,0.0,3.0,0.0
5047,0.0,1.0,2.0,0.0,,,2.0
5048,0.0,1.0,2.0,0.0,,,
5054,0.0,2.0,2.0,2.0,0.0,,1.0
5055,0.0,1.0,2.0,0.0,,,0.0
5056,0.0,2.0,2.0,2.0,1.0,2.0,
5057,0.0,3.0,,1.0,0.0,3.0,2.0
5060,0.0,2.0,,,,,0.0
5064,0.0,3.0,,,,,
5067,0.0,1.0,1.0,0.0,,,1.0
5075,0.0,2.0,,,,,
5078,1.0,2.0,,2.0,0.0,,2.0
5080,0.0,2.0,,1.0,,,
5081,0.0,3.0,,2.0,0.0,,2.0
5084,1.0,3.0,,2.0,2.0,3.0,
5088,0.0,3.0,1.0,0.0,,,0.0
5089,0.0,1.0,2.0,,,,1.0
5091,0.0,2.0,2.0,,,,
5093,1.0,3.0,,0.0,1.0,2.0,1.0
5094,0.0,2.0,1.0,1.0,,,2.0
5097,0.0,2.0,,2.0,0.0,,0.0
5099,0.0,2.0,2.0,1.0,,,1.0
5100,0.0,1.0,1.0,0.0,,,
5102,0.0,2.0,2.0,,1.0,,0.0
5105,1.0,2.0,2.0,2.0,0.0,,0.0
5106,0.0,3.0,1.0,2.0,0.0,,1.0
5111,2.0,2.0,,1.0,0.0,,1.0
5112,0.0,2.0,,,,,
5116,0.0,3.0,,,,,
5117,,,,,,,
5118,1.0,,1.0,2.0,,,
5119,0.0,3.0,1.0,0.0,,,1.0
5121,0.0,2.0,,2.0,1.0,2.0,
5125,0.0,1.0,,0.0,,,2.0
5126,1.0,2.0,2.0,2.0,,3.0,
5127,1.0,2.0,,2.0,1.0,2.0,
5128,0.0,3.0,,,,,
5132,0.0,3.0,,2.0,1.0,,0.0
5133,1.0,3.0,,1.0,0.0,,1.0
5138,0.0,3.0,,0.0,,,2.0
5139,0.0,1.0,1.0,2.0,,,1.0
5141,0.0,1.0,,2.0,0.0,,1.0
5142,0.0,2.0,2.0,0.0,,,1.0
5144,0.0,3.0,,2.0,,,2.0
5145,0.0,2.0,,2.0,0.0,,1.0
5148,,,,,,,
5149,0.0,3.0,,,,,1.0
5153,0.0,,,,,,1.0
5154,,,,,,,
5156,0.0,1.0,,2.0,,,1.0
5157,0.0,2.0,,1.0,0.0,,1.0
5158,0.0,2.0,1.0,2.0,,,2.0
5161,0.0,3.0,,2.0,,,1.0
5165,0.0,3.0,1.0,2.0,0.0,,1.0
5169,0.0,1.0,1.0,1.0,,,2.0
5178,1.0,1.0,2.0,2.0,2.0,3.0,1.0
5179,0.0,2.0,2.0,1.0,,,2.0
5183,0.0,3.0,1.0,2.0,1.0,,
5184,1.0,,1.0,,1.0,2.0,
5185,0.0,2.0,,,,,2.0
5189,0.0,3.0,,2.0,0.0,,1.0
5190,1.0,2.0,,,1.0,,
5191,0.0,2.0,,2.0,,,0.0
5193,1.0,1.0,2.0,,1.0,,
5195,0.0,1.0,,0.0,,,
5197,0.0,1.0,,0.0,,,0.0
5198,0.0,2.0,,1.0,,,1.0
5199,0.0,1.0,,,,,
5201,0.0,1.0,,,,,
5202,,,,,,,
5203,1.0,1.0,2.0,2.0,1.0,,0.0
5204,0.0,2.0,,0.0,,,0.0
5205,0.0,1.0,,0.0,,,
5206,0.0,1.0,,,,,0.0
5209,0.0,3.0,,,,,2.0
5210,1.0,3.0,,1.0,0.0,,1.0
5215,0.0,1.0,,0.0,,,1.0
5220,0.0,,,2.0,,,
5221,0.0,1.0,,,,,
5222,1.0,3.0,,0.0,1.0,,2.0
5224,0.0,3.0,2.0,2.0,,,1.0
5225,,,,,,,
5226,0.0,1.0,,2.0,1.0,2.0,2.0
5229,0.0,2.0,,0.0,,,0.0
5231,0.0,2.0,1.0,2.0,,,1.0
5233,0.0,2.0,2.0,0.0,,,
5234,0.0,1.0,,1.0,,,0.0
5235,0.0,2.0,2.0,2.0,,,1.0
5238,0.0,2.0,,1.0,,,0.0
5239,0.0,2.0,2.0,0.0,,,
5240,0.0,2.0,,,,,
5241,0.0,2.0,,2.0,,,1.0
5242,0.0,1.0,2.0,,,,
5245,1.0,2.0,,2.0,0.0,,1.0
5247,0.0,2.0,,2.0,0.0,,1.0
5248,,,,,,,
5253,0.0,1.0,,1.0,,,
5255,1.0,2.0,,2.0,0.0,,1.0
5257,0.0,2.0,2.0,,,,
5259,0.0,1.0,,0.0,,,
5261,1.0,3.0,,2.0,1.0,,1.0
5262,0.0,2.0,2.0,1.0,2.0,3.0,2.0
5263,0.0,1.0,2.0,2.0,,,2.0
5264,0.0,2.0,2.0,2.0,,,0.0
5265,0.0,2.0,,0.0,1.0,,0.0
5268,0.0,1.0,,,,,
5269,0.0,1.0,2.0,,,,
5271,0.0,2.0,2.0,,,,
5272,0.0,1.0,2.0,,,,
5273,0.0,3.0,,2.0,,,1.0
5274,0.0,1.0,1.0,1.0,0.0,,0.0
5276,0.0,,,1.0,,,0.0
5278,0.0,3.0,2.0,0.0,,,2.0
5280,,,,,,,
5281,0.0,2.0,1.0,,,,
5282,0.0,2.0,,2.0,0.0,,0.0
5285,,,,,,,
5286,0.0,2.0,1.0,1.0,1.0,,2.0
5291,0.0,3.0,,0.0,,,1.0
5292,1.0,2.0,1.0,2.0,2.0,3.0,
5296,1.0,3.0,2.0,1.0,,,
5298,0.0,1.0,1.0,0.0,,,1.0
5300,0.0,2.0,,0.0,2.0,3.0,
5306,0.0,1.0,2.0,,,,0.0
5310,1.0,3.0,,2.0,0.0,,0.0
5311,0.0,2.0,,0.0,0.0,,
5313,0.0,3.0,1.0,2.0,,,0.0
5314,0.0,1.0,,1.0,,,0.0
5315,0.0,2.0,,0.0,,,1.0
